Total symbols: 16503

437: flag=0x54, name=nullsub_37, address=0x80379244
438: flag=0x54, name=qPriListKey, address=0x80379C08
439: flag=0x54, name=def_8037C42C, address=0x8037C434
440: flag=0x54, name=prefixLibInit, address=0x8037DCFC
441: flag=0x54, name=nullsub_38, address=0x8037E12C
442: flag=0x54, name=nullsub_72, address=0x8037ED5C
443: flag=0x54, name=if_addmulti, address=0x8037F50C
444: flag=0x54, name=ifunit, address=0x8037F970
445: flag=0x54, name=ifInstInit, address=0x80381A38
446: flag=0x54, name=if_simloop, address=0x803824F0
447: flag=0x54, name=looutput, address=0x80382728
448: flag=0x54, name=macAddrCheck, address=0x80383324
449: flag=0x54, name=arpLexNextGet, address=0x803835CC
450: flag=0x54, name=arpExactMatch, address=0x803838F0
451: flag=0x54, name=def_80386378, address=0x80386458
452: flag=0x54, name=def_803864B4, address=0x803864CC
453: flag=0x54, name=def_8038B4BC, address=0x8038B1FC
454: flag=0x54, name=def_8038B2D0, address=0x8038B238
455: flag=0x54, name=def_8038B30C, address=0x8038B2A8
456: flag=0x54, name=def_8038B428, address=0x8038B6AC
457: flag=0x54, name=def_8038DE08, address=0x8038DDC8
458: flag=0x54, name=def_8038E030, address=0x8038E038
459: flag=0x54, name=def_80390BD0, address=0x80390B70
460: flag=0x54, name=def_803932FC, address=0x80393898
461: flag=0x54, name=def_8039BA70, address=0x8039BAC0
462: flag=0x54, name=def_803A31AC, address=0x803A31C4
463: flag=0x54, name=def_803A47FC, address=0x803A4A08
464: flag=0x54, name=def_803A53AC, address=0x803A5420
465: flag=0x54, name=def_803AEC64, address=0x803AEC7C
466: flag=0x54, name=def_803B60C8, address=0x803B60D0
467: flag=0x54, name=def_803B629C, address=0x803B6300
468: flag=0x54, name=def_803B6B84, address=0x803B6B8C
469: flag=0x54, name=shutdown, address=0x803BAEA8
470: flag=0x54, name=getsockopt, address=0x803BAFA4
471: flag=0x54, name=setsockopt, address=0x803BB05C
472: flag=0x54, name=recv, address=0x803BB118
473: flag=0x54, name=recvfrom, address=0x803BB1B8
474: flag=0x54, name=send, address=0x803BB2F0
475: flag=0x54, name=sendto, address=0x803BB390
476: flag=0x54, name=connect, address=0x803BB4B0
477: flag=0x54, name=listen, address=0x803BB538
478: flag=0x54, name=bind, address=0x803BB5A0
479: flag=0x54, name=accept, address=0x803BB64C
480: flag=0x54, name=socket, address=0x803BB73C
481: flag=0x54, name=nullsub_39, address=0x803BBB1C
482: flag=0x54, name=def_803C7AE4, address=0x803C7AEC
483: flag=0x54, name=def_803C9B90, address=0x803C9AD8
